nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 2 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Train Acc = 0.660000
20/250  Train Acc = 0.710000
30/250  Train Acc = 0.740000
40/250  Train Acc = 0.810000
50/250  Train Acc = 0.890000
60/250  Train Acc = 0.870000
70/250  Train Acc = 0.850000
80/250  Train Acc = 0.880000
90/250  Train Acc = 0.890000
100/250  Train Acc = 0.880000
110/250  Train Acc = 0.850000
120/250  Train Acc = 0.940000
130/250  Train Acc = 0.840000
140/250  Train Acc = 0.870000
150/250  Train Acc = 0.850000
160/250  Train Acc = 0.870000
170/250  Train Acc = 0.910000
180/250  Train Acc = 0.910000
190/250  Train Acc = 0.890000
200/250  Train Acc = 0.840000
210/250  Train Acc = 0.890000
220/250  Train Acc = 0.900000
230/250  Train Acc = 0.880000
240/250  Train Acc = 0.900000
250/250  Train Acc = 0.900000
	Train cost = 0.327852,	Accuracy = 0.855200
10/250  Test Acc = 0.890000
20/250  Test Acc = 0.880000
30/250  Test Acc = 0.970000
40/250  Test Acc = 0.880000
50/250  Test Acc = 0.840000
60/250  Test Acc = 0.860000
70/250  Test Acc = 0.920000
80/250  Test Acc = 0.880000
90/250  Test Acc = 0.890000
100/250  Test Acc = 0.940000
110/250  Test Acc = 0.850000
120/250  Test Acc = 0.930000
130/250  Test Acc = 0.730000
140/250  Test Acc = 0.900000
150/250  Test Acc = 0.940000
160/250  Test Acc = 0.960000
170/250  Test Acc = 0.910000
180/250  Test Acc = 0.870000
190/250  Test Acc = 0.920000
200/250  Test Acc = 0.910000
210/250  Test Acc = 0.890000
220/250  Test Acc = 0.950000
230/250  Test Acc = 0.910000
240/250  Test Acc = 0.940000
250/250  Test Acc = 0.890000
	Test cost = 0.246531,	Accuracy = 0.904200
Epoch = 2
10/250  Train Acc = 0.910000
20/250  Train Acc = 0.940000
30/250  Train Acc = 0.920000
